UserID,ItemID,Rating,Timestamp
U00006040,P0017,3,956704584
U00006037,P0017,4,956709701
U00006036,P0024,2,956710067
U00006036,P0028,4,956710566
U00006035,P0025,1,956710846
U00006035,P0032,4,956711064
U00006035,P0011,4,956712108
U00006035,P0004,2,956712120
U00006035,P0021,2,956712177
U00006035,P0026,2,956712192
U00006035,P0031,2,956712335
U00006036,P0030,4,956712526
U00006036,P0025,4,956712599
U00006035,P0001,4,956712849
U00006036,P0032,3,956712862
U00006036,P0017,4,956712981
U00006035,P0007,3,956713027
U00006035,P0005,1,956713165
U00006035,P0003,1,956713372
U00006036,P0006,3,956717530
U00006031,P0032,4,956717883
U00006032,P0001,4,956718127
U00006031,P0008,5,956718223
U00006030,P0032,5,956718440
U00006032,P0017,5,956718484
U00006030,P0029,5,956718527
U00006030,P0002,4,956719238
U00006028,P0006,4,956723671
U00006026,P0032,3,956725986
U00006027,P0010,5,956726620
U00006025,P0025,4,956731134
U00006025,P0017,5,956731134
U00006025,P0011,4,956731215
U00006025,P0007,4,956731215
U00006025,P0003,3,956731760
U00006025,P0015,1,956731980
U00006024,P0025,3,956749168
U00006024,P0021,4,956749767
U00006036,P0011,3,956752783
U00006023,P0006,5,956752895
U00006023,P0022,5,956752993
U00006036,P0021,3,956753465
U00006036,P0004,2,956753920
U00006036,P0016,3,956753965
U00006036,P0026,3,956754065
U00006036,P0029,3,956754585
U00006022,P0001,5,956755763
U00006021,P0001,3,956757147
U00006019,P0010,3,956761104
U00006019,P0002,4,956761170
U00006018,P0021,3,956763771
U00006018,P0032,4,956764357
U00006016,P0021,4,956777248
U00006016,P0010,4,956777700
U00006016,P0001,4,956778750
U00006015,P0001,5,956778765
U00006014,P0032,4,956779404
U00006011,P0010,4,956784373
U00006016,P0007,3,956785299
U00006016,P0011,3,956785299
U00006016,P0003,2,956785966
U00006011,P0001,5,956786106
U00006016,P0019,2,956786307
U00006011,P0011,3,956787721
U00006007,P0011,2,956789316
U00006007,P0020,2,956792299
U00006006,P0017,2,956793179
U00006003,P0017,5,956796965
U00006003,P0032,5,956797523
U00006037,P0032,3,956801666
U00006001,P0010,4,956805347
U00006001,P0002,3,956805460
U00006001,P0006,4,956808188
U00006001,P0022,3,956808283
U00006001,P0016,3,956810901
U00006025,P0001,5,956812867
U00006025,P0021,3,956813306
U00006025,P0004,3,956813456
U00006024,P0011,5,956836579
